"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"1","población",-0.2,0,0.6
"2","obra",0.2,0.4,0.4
"3","dormir",1,-0.6,1
"4","dar",0.8,1,1
"5","realizar",0.6,1,0.8
"6","haber",0,-0.2,-0.2
"7","amor",1,0.6,0.4
"8","aparecer",0,0.6,0.6
"9","seguir",0.4,0.6,0.8
"10","especie",0.2,-0.2,0.6
"11","dejar",-0.4,1,1
"12","nombre",0.167,-0.5,0.167
"13","solo",-0.6,-0.2,1
"14","corazón",0.8,0.4,1
"15","lograr",1,1,0.6
"16","entender",1,0.8,0.6
"17","acercar",0.2,1,0.6
"18","grande",0,-0.2,0.6
"19","ojo",0.2,-0.2,1
"20","bueno",1,0.2,0.6
"21","trabajar",0.6,1,1
"22","permitir",0.8,1,0.4
"23","junto",0.6,0.2,0.6
"24","hablar",0.2,1,1
"25","hacer",0.4,1,0.8
"26","tiempo",0,0,0.2
"27","nuevo",0.8,-0.4,0.6
"28","mirada",0.4,0.6,0.8
"29","entrar",0.2,1,1
"30","cuerpo",0,0.2,1
"31","tipo",-0.2,0,-0.8
"32","cosa",0,0,-0.4
"33","volver",-0.4,0.2,0.4
"34","propio",0.4,0,0.6
"35","más",0.8,0.2,0.2
"36","llamar",0.2,1,1
"37","canción",1,0,1
"38","alcanzar",1,1,0.8
"39","pensar",0.8,0.6,1
"40","agua",0.6,0,1
"41","aire",0.6,0,0.2
"42","jugar",1,1,1
"43","voz",0.4,0.8,0.8
"44","poder",0.8,0.8,0.2
"45","sentar",0.4,0.6,0.8
"46","mar",0.8,0.6,1
"47","mirar",0.4,0.8,1
"48","río",0.6,0.4,0.8
"49","dolor",-1,0.6,0.8
"50","caso",0,-0.2,-0.6
"51","mantener",-0.2,1,-0.4
"52","historia",0.4,0,0
"53","región",0,-0.2,-0.4
"54","abrir",0.4,1,1
"55","último",-0.4,-0.2,0.2
"56","hermano",0.6,0.2,0.8
"57","lugar",0,-0.4,0
"58","junto",0.4,0.2,0.4
"59","presentar",0.4,1,0.4
"60","producir",0.4,1,0.2
"61","estar",0.8,0.2,0.4
"62","venir",0.4,1,1
"63","palabra",0,0.2,0.2
"64","habitante",0.5,-0.167,0.833
"65","fin",0,0.2,0.2
"66","sólo",0,-0.2,0
"67","alma",0.5,0,-0.5
"68","rey",-0.167,0,0.167
"69","mundo",0.4,0,0.8
"70","ser",0.4,0.4,0.2
"71","número",0.167,-0.167,0.667
"72","considerar",0.333,0.5,-0.333
"73","querer",1,0.8,0.4
"74","recordar",0.333,0.333,0.333
"75","amar",1,1,0.667
"76","creer",0.6,0.6,0.2
"77","pedir",-0.5,0.5,0.5
"78","caer",-0.5,-0.333,0.333
"79","siguiente",0.167,0.333,0.167
"80","trabajo",0.333,0.667,0.5
"81","nacional",0.4,0.2,0.8
"82","convertir",-0.2,1,0
"83","tener",0.6,-0.2,0.8
"84","lado",0,-0.4,0.4
"85","punto",0,-0.4,0.6
"86","esperar",-0.8,-1,0.8
"87","amigo",1,0.4,1
"88","manera",0,0,-0.8
"89","total",0,-0.2,-0.4
"90","poder",0.4,0.8,0.4
"91","ubicar",-0.2,1,0.4
"92","crear",1,1,0.2
"93","calle",0,-0.4,0.8
"94","terminar",0.2,1,0.8
"95","forma",0.2,-0.2,-0.6
"96","sistema",0.2,0.2,-0.8
"97","año",0,-0.2,1
"98","existir",0.6,0.2,-0.2
"99","hijo",0.6,0.2,1
"100","partir",0,0.8,0.6
"101","comenzar",0.6,1,0.8
"102","luz",0.6,0,1
"103","buscar",0.2,1,0.8
"104","paso",0,0.4,0.2
"105","vida",0.8,0.2,0.4
"106","país",0.2,-0.2,0.8
"107","encontrar",0.6,0.6,1
"108","decidir",0.2,1,-0.2
"109","parte",0,-0.2,0.8
"110","noche",0.6,0,1
"111","llevar",0,0.6,1
"112","poner",0.4,1,1
"113","hora",0,-0.6,0.2
"114","incluir",0.2,0.6,-0.2
"115","decir",0.2,0.8,1
"116","escuchar",0.4,0.6,0.8
"117","perder",-1,0.4,1
"118","grupo",0.6,0,0.8
"119","libro",0.6,0,1
"120","fuerza",0.4,0.4,0
"121","familia",1,0.4,0.8
"122","llegar",0.4,1,1
"123","cielo",0.8,0.4,0.6
"124","zona",0,-0.2,-0.4
"125","verdad",0.8,0.2,-0.2
"126","persona",0.4,0.6,0.8
"127","norte",0.2,-0.4,0.4
"128","hombre",0.4,0.4,1
"129","cuenta",0,-0.2,0.4
"130","puerta",0,-0.6,1
"131","dirigir",0,0.8,0.2
"132","momento",0.2,-0.4,-0.2
"133","muerte",-0.8,0,0.2
"134","municipio",0,-0.2,0.6
"135","tratar",0.2,0.8,-0.2
"136","quedar",0,-0.4,0.2
"137","unir",0.4,0.8,0.8
"138","cabeza",0,0,1
"139","tierra",0.4,0,1
"140","mismo",0,0.2,-0.4
"141","centro",0.4,-0.4,0.4
"142","aun",0,-0.2,-1
"143","casa",0.8,-0.6,0.8
"144","gente",0.4,0.2,1
"145","principal",0.8,0.2,0.2
"146","tan",0,-0.2,-0.6
"147","mejor",0.8,0.4,0.2
"148","preguntar",0.2,1,0.4
"149","saber",0.8,1,0
"150","formar",0.4,1,0
"151","único",0.4,0.2,0.6
"152","vez",0,0,-0.2
"153","camino",0.6,0.4,0.6
"154","recuerdo",0.2,-0.2,1
"155","mujer",0.6,0.6,1
"156","conocer",0.8,0.8,0.4
"157","parecer",0.4,0.2,0.4
"158","olvidar",0,0.6,0.4
"159","metro",0.167,0,1
"160","importante",0.333,0.333,0.333
"161","universidad",0.714,0.857,1
"162","siglo",0,-0.8,0.6
"163","color",0.4,0,1
"164","pasar",0,0.4,0.6
"165","correr",0.8,1,1
"166","mano",0.2,0,1
"167","contar",0.4,1,0.8
"168","deber",-0.4,0,0.8
"169","salir",0.6,1,1
"170","vivir",0.8,1,1
"171","estado",-0.2,-0.2,-0.2
"172","ver",0.4,0.6,0.8
"173","pequeño",0.2,-0.4,1
"174","padre",1,0.6,1
"175","gobierno",0,0.667,0.833
"176","condado",0,-0.8,0.2
"177","utilizar",0.167,0.667,0.333
"178","madre",1,0.8,1
"179","sentir",0.6,0.6,0.4
"180","tanto",0,0.2,-0.2
"181","cambiar",0.333,0.667,0.167
"182","final",0.4,0.2,0.6
"183","escribir",0.2,0.8,1
"184","día",0.4,0.2,1
"185","sueño",0.4,0.2,0.4
"186","usar",0,0.8,0.2
"187","empezar",0.4,1,0
"188","tomar",0,0.6,0.8
"189","pesar",-0.4,0.2,0.4
"190","equipo",0.8,0.4,0.8
"191","ciudad",0.4,0.4,1
"192","juego",1,1,0.8
"193","provincia",0.6,0,0.8
"194","gran",0.4,0.2,0.6
"195","general",0.2,-0.2,-0.6
"196","morir",-0.6,0.4,0.6
"197","nacer",0.8,1,0.8
"198","niño",0.6,0.8,1
"199","mayor",0.333,0.167,1
"200","recibir",0.667,0.167,0.667
"201","serie",0.333,0.167,0
"202","silencio",0.667,-0.167,1
"203","realidad",0.333,0.333,0.667
"204","real",0.333,0.333,0.5
"205","proyecto",0.5,0.167,0.667
"206","estudio",0.5,0.5,0.5
"207","tocar",0.333,0.833,0.833
"208","conseguir",0.333,0.5,0.667
"209","película",0,0.143,0.571
"210","mes",0.2,0,0.2
"211","sol",0.4,0.6,1
"212","diferente",0.6,0.4,0
"213","ganar",0.6,0.8,0.4
"214","isla",0.8,0,0.8
"215","censo",0,0.6,0.2
"216","intentar",0.8,0.6,0.4
"217","mostrar",0.6,0.6,0.8
"218","viejo",0.2,0.2,0.4
"219","humano",0.8,0.8,0.8
"220","caminar",0.8,1,1
"221","pie",0,0.4,0.8
"222","orden",0.167,0.333,0.5
"223","gustar",0.833,0.833,0.333
"224","llorar",-0.833,0.833,0.833
"225","levantar",-0.2,0.6,0.4
"226","cara",0.4,-0.2,0.2
"227","rostro",0.2,0,0.2
"228","señor",-0.2,0.2,0.4
"229","música",1,0.6,0.2
"230","raza",-0.2,0.4,1
"231","idea",0.8,1,0.4
"232","viento",0.6,0.6,0.6
"233","iglesia",-0.6,0,1
"234","través",0,0,-1
"235","problema",-0.8,0.4,0.4
"236","álbum",0.2,0.2,0.6
"237","desear",0.6,0.8,0.2
"238","boca",0.4,0.4,1
"239","mente",0.6,0.4,0
"240","imagen",0.4,0,0.6
"241","miedo",-1,0.8,0.6
"242","época",0,0,0
"243","acabar",0.2,0.6,0.2
"244","piel",0.6,0,1
"245","carrera",0.2,0.8,1
"246","construir",0.8,1,1
"247","obtener",0.4,1,-0.2
"248","brazo",0.2,-0.2,1
"249","fuerte",0.6,0.8,0.2
"250","demografía",0,-0.167,-0.5
"251","club",0.667,0.5,0.667
"252","publicar",0.167,1,0.333
"253","resto",0.167,0,-0.167
"254","observar",0.333,0.667,0.667
"255","situar",0,0,0
"256","temporada",0.333,0.167,-0.333
"257","lanzar",0.333,1,0.833
"258","cerrar",-0.333,1,1
"259","servicio",0.6,0.4,-0.4
"260","beso",1,1,1
"261","presidente",-0.2,0.8,1
"262","sentido",0.4,0.4,-0.4
"263","sonrisa",1,1,1
"264","necesitar",0.4,1,0
"265","razón",0.6,0.6,-0.2
"266","miembro",0.4,0.6,0.8
"267","movimiento",0.6,0.6,0.8
"268","regresar",0.4,1,0.8
"269","relación",1,1,0.4
"270","frente",0,0,0.2
"271","escuela",0.8,1,1
"272","papel",0.4,0.4,0.8
"273","línea",0.2,0,1
"274","destacar",0.6,0.8,0.2
"275","ejemplo",0.2,0.6,0
"276","descubrir",1,1,0.4
"277","servir",0,0.8,0.4
"278","arte",1,0.8,0.6
"279","sangre",0,0,1
"280","estrella",1,0.6,1
"281","edad",0,0,0
"282","derecho",0.2,0.6,0
"283","labio",0.4,0.4,1
"284","dios",0,0,-0.4
"285","pertenecer",0.4,0.4,-0.4
"286","continuar",0.6,0.8,-0.2
"287","matar",-1,0.4,0.6
"288","participar",0.8,1,0.4
"289","posible",0.8,0.2,0.4
"290","pueblo",0.6,-0.2,0.6
"291","medio",0,0,0.6
"292","despertar",0.8,0.8,1
"293","espacio",0.4,-0.6,0
"294","distrito",0,0,0
"295","minuto",-0.2,0.2,0
"296","cantar",0.8,1,0.8
"297","igual",0.2,0,0.6
"298","departamento",0.2,-0.2,0.8
"299","sacar",0.2,1,0.8
"300","nada",0,-0.4,0
"301","cambio",0.6,0.8,0
"302","gracia",0.8,0.2,0
"303","blanco",0.6,-0.4,1
"304","personaje",0.8,0.6,0.4
"305","semana",0,0.4,0.6
"306","ocupar",-0.2,0.8,0.2
"307","bajo",0,-0.2,1
"308","antiguo",0.6,-0.6,0.8
"309","localidad",0,0,0
"310","lleno",0.2,-0.4,1
"311","ser",0.8,1,0.2
"312","ocurrir",0.4,0.8,-0.6
"313","principio",0.4,0.4,-0.2
"314","negro",0,-0.4,0.8
"315","oscuro",0,-0.4,0.8
"316","ejército",-0.4,0.6,1
"317","densidad",0,-0.2,-0.2
"318","frente",0,-0.2,0
"319","hermoso",1,0.2,0.6
"320","feliz",1,0.8,0.4
"321","poblacional",0,-0.2,-0.4
"322","situación",0,0,-0.4
"323","detener",0,1,0.4
"324","ayudar",0.6,1,0.6
"325","leer",0.8,0.6,0.8
"326","anterior",0.2,-0.2,-0.4
"327","largo",-0.2,0,0.4
"328","acompañar",0.8,1,0.4
"329","abandonar",-0.8,0.8,0
"330","distinto",0.2,0.2,0.2
"331","social",0.4,0,0
"332","título",-0.2,0,0.6
"333","origen",0.2,-0.2,-0.2
"334","desarrollar",0.2,1,0.4
"335","actual",0,-0.2,0.2
"336","bello",0.8,-0.4,0.6
"337","mayoría",-0.2,0,0.4
"338","dedicar",0.4,0.8,0.6
"339","área",0.2,-0.6,0.6
"340","chico",-0.2,-0.4,1
"341","importar",0.4,0.4,0.6
"342","clase",0.4,0.2,0.6
"343","político",-0.2,0.4,-0.4
"344","internacional",0.2,-0.2,0
"345","especial",0.6,-0.2,0.4
"346","sentimiento",0.4,0,0.2
"347","alto",0.2,-0.2,0.6
"348","nivel",0.2,0.2,0.4
"349","árbol",0.6,-0.4,1
"350","disco",0.4,0,1
"351","pensamiento",0.6,0.4,0
"352","cama",0.6,-0.2,1
"353","extraño",0.2,-0.2,0.2
"354","reconocer",0.4,1,0.2
"355","sufrir",-0.6,0.6,0.6
"356","superficie",0.2,-0.4,0.6
"357","actividad",0.6,0.8,0.4
"358","programa",0,0.6,0.2
"359","edificio",0,-0.8,1
"360","responder",0.429,0.571,0.286
"361","comer",0.4,1,0.6
"362","representar",0.4,0.8,0.4
"363","iniciar",0.6,1,0.4
"364","establecer",0.167,0.833,-0.5
"365","estación",0.333,-0.5,0.667
"366","hecho",0.167,0.167,-0.333
"367","mundial",0.333,0.167,0.5
"368","suelo",0.5,0,1
"369","oficina",0.2,0,1
"370","ventana",0.8,-0.4,1
"371","empresa",0,0.4,0.6
"372","éxito",0.8,0.6,0.8
"373","poseer",0.6,0.6,0.8
"374","ley",0,0.8,0.8
"375","compañía",1,1,1
"376","suceder",0.4,0.6,0.8
"377","instante",0.4,0,0.8
"378","cubrir",0.4,1,0.6
"379","sociedad",0.6,0.6,0.8
"380","reír",1,1,1
"381","traer",0,1,0.8
"382","versión",0,0,-0.2
"383","lengua",0.2,0.8,0.8
"384","uso",0,0.6,0.4
"385","cantón",0.2,-0.2,0.2
"386","entregar",0.4,0.8,0.8
"387","comprender",0.667,0.5,0.5
"388","vivo",0.5,0.833,0.667
"389","territorio",0.167,-0.333,0.833
"390","luna",0.833,-0.333,1
"391","vuelta",0.167,0.5,0.5
"392","ofrecer",0.75,1,0.875
"393","destino",0.4,0,0.2
"394","hoja",0.4,-0.2,1
"395","sombra",0.4,-0.2,1
"396","diverso",0.4,0.2,0.2
"397","base",0,0,0.2
"398","público",0.4,0.4,0.8
"399","mover",0.2,0.8,0.6
"400","libre",0.8,0.6,0.2
"401","batalla",-0.6,0.8,0.8
"402","fondo",0,-0.4,0.8
"403","acariciar",0.8,1,1
"404","millón",0,0,0.2
"405","fuego",0.8,1,1
"406","flor",1,0.2,1
"407","don",0.8,0.2,0.6
"408","resultar",0,0.4,0
"409","planta",1,0.2,1
"410","acuerdo",0.4,1,0.6
"411","nombrar",0,0.8,0.4
"412","joven",0.2,0.2,0.6
"413","crecer",0.8,1,0.6
"414","premio",0.8,0.4,0.8
"415","componer",0.6,1,0.6
"416","viaje",0.6,0.8,0.8
"417","modo",0,-0.2,-0.4
"418","sonido",0.6,0.4,1
"419","compañero",0.6,0.2,0.8
"420","suponer",0,0.6,0
"421","desarrollo",0.6,1,0.8
"422","menor",0,0,0.6
"423","construcción",0.4,1,0.6
"424","soler",0.2,0.6,0
"425","animal",0.8,0.6,0.8
"426","popular",0,0.2,0.8
"427","soñar",1,0.8,1
"428","fundar",0,1,1
"429","volar",0.6,1,1
"430","rojo",0.6,0,0.8
"431","cargo",0.2,0.4,0.8
"432","contener",0.2,0.6,0.6
"433","fútbol",-0.2,1,1
"434","joven",0.2,0.4,1
"435","valor",0.4,0.2,0.6
"436","medio",0,0,0.2
"437","proceso",0,0.8,0.6
"438","gritar",-0.4,1,1
"439","estilo",0.4,0.4,0.4
"440","presencia",0.2,0.6,0.4
"441","común",0,0,0
"442","ocasión",0.4,0.2,0.4
"443","letra",0,-0.2,0.8
"444","lluvia",0.6,0.8,1
"445","división",0,0.8,0.8
"446","allá",0,0.2,0.6
"447","estudiar",0.2,1,1
"448","término",0,-0.2,-0.2
"449","reino",0.4,0.2,0.6
"450","triste",-1,-0.167,1
"451","lágrima",-0.167,0.5,1
"452","producción",0.5,0.833,0.5
"453","dirección",0.167,0.833,0.5
"454","romper",0,1,1
"455","república",0.333,0.167,0.167
"456","respuesta",0.167,0.833,-0.167
"457","acción",0.6,1,0.8
"458","necesario",0,-0.2,-0.4
"459","natural",0.2,0,0.4
"460","subir",0.4,1,1
"461","autor",0.2,0.6,1
"462","disponer",0.4,0.4,-0.2
"463","soledad",-0.6,-0.8,1
"464","malo",-1,0.2,1
"465","oficial",0,0.2,0
"466","televisión",0.2,-0.2,1
"467","cabo",-0.2,-0.4,0.4
"468","todavía",0.4,-0.2,-0.2
"469","geografía",0.2,-0.2,0.4
"470","desaparecer",0,0.4,1
"471","separar",-0.2,1,0.6
"472","económico",0.2,-0.2,0.6
"473","significar",0,0,-0.2
"474","favor",0.6,0.8,0.6
"475","jamás",-0.2,0,0.2
"476","director",0,0.4,0.8
"477","corresponder",0.2,0.2,0.4
"478","habitación",0,0,1
"479","género",0,-0.2,0
"480","comunidad",0.6,0,1
"481","cierto",0.4,0.2,-0.2
"482","puerto",0.4,-0.2,0.8
"483","sonreír",1,1,1
"484","deseo",0.4,1,0.4
"485","aceptar",0.6,0.8,0.6
"486","posición",0.2,0.2,0.4
"487","década",0.2,0,0.2
"488","verde",0.4,0.2,1
"489","dedo",0.2,0.2,1
"490","alejar",0,1,1
"491","esposo",-0.2,0.4,0.8
"492","pared",-0.4,-0.2,1
"493","besar",0.6,0.8,1
"494","basar",0.2,0.2,0.2
"495","barrio",0.4,0.4,1
"496","efecto",0.4,0.8,-0.4
"497","escapar",-0.2,1,0.4
"498","cruzar",0.2,1,0.6
"499","oír",0.6,0.2,1
"500","parque",0.8,0.2,1
"501","fiesta",0.4,0.8,1
"502","imaginar",0.6,0.4,0.6
"503","negro",0.4,0.4,1
"504","perro",0.2,0.6,1
"505","permanecer",0.6,-0.4,0
"506","evitar",-0.2,1,0.4
"507","bajar",0,0.8,0.8
"508","casar",0.5,0.833,0.833
"509","elegir",0.8,1,0.2
"510","recorrer",0.2,1,0.6
"511","cumplir",0.8,0.8,0.2
"512","fuente",0.2,-0.8,1
"513","segundo",0,-0.4,-0.2
"514","memoria",0.2,0.4,0
"515","esconder",-0.4,0.8,0.6
"516","cultura",0.8,0.6,0
"517","resultado",0.2,-0.4,-0.2
"518","nuevamente",0,-0.2,-0.2
"519","pecho",0.167,-0.667,1
"520","profesor",0.2,0.2,1
"521","formular",0,0.8,0.2
"522","capital",0.4,-0.2,0.4
"523","existencia",0.6,0,-0.2
"524","episodio",0.2,0,0.4
"525","verdadero",1,0.4,-0.2
"526","figura",0,0,0.8
"527","denominar",0,0.4,-0.4
"528","jefe",-0.4,0.6,1
"529","pena",-0.8,-0.2,0.2
"530","comprar",0.8,1,1
"531","carta",0,0.4,1
"532","notar",0,1,-0.4
"533","mandar",0,1,0.4
"534","atrás",-0.2,-0.2,0.6
"535","marcar",0,0.8,0.4
"536","grito",-0.6,1,1
"537","demasiado",-0.4,-0.2,0
"538","provocar",-0.2,1,0.4
"539","elección",0.2,0.8,0
"540","acto",0,0.8,0.2
"541","modelo",0.2,0,0.4
"542","jugador",0.8,1,1
"543","libertad",1,0.8,0.6
"544","celebrar",1,1,1
"545","espalda",0.2,-0.4,0.8
"546","sitio",0.2,-0.6,0.2
"547","escritor",1,1,1
"548","siquiera",0,-0.4,-0.8
"549","explicar",0.6,1,0.4
"550","cantidad",0,0,0.2
"551","unión",0.8,0.4,0.4
"552","lagrimar",-0.4,0.6,1
"553","apenas",0,-0.167,0.167
"554","aprender",1,1,1
"555","arma",-1,0.6,1
"556","hallar",0.8,1,0.8
"557","distancia",-0.2,-0.4,0.8
"558","simple",0.8,0.2,0.8
"559","teatro",1,0.6,1
"560","par",0.6,0.2,1
"561","andar",0.8,0.8,1
"562","futuro",0.4,-0.2,-0.2
"563","eterno",0.8,0.2,0
"564","condición",0,-0.2,-0.2
"565","militar",-1,0.4,0.6
"566","cuento",1,0.2,1
"567","ángel",0.4,-0.2,0.4
"568","golpe",-0.8,0.4,1
"569","objeto",0.2,-0.4,0.2
"570","organización",0,0.4,0.6
"571","abuelo",0.8,0,1
"572","radio",0.6,0,1
"573","difícil",0,0.2,0.2
"574","viajar",1,0.8,1
"575","capaz",1,0.6,0.6
"576","montaña",0.6,-0.4,1
"577","esperanza",0.8,-0.2,0.6
"578","rodear",0.4,0.6,0.6
"579","preparar",0.4,0.6,0.6
"580","pierna",0.4,0.2,0.8
"581","canal",0.4,0.2,1
"582","numeroso",0,0.2,1
"583","vestir",0,1,1
"584","elemento",0.2,0,0.2
"585","control",-0.2,0,0.6
"586","calor",0.4,0.4,1
"587","oeste",0,0,0.6
"588","función",0,0,0.2
"589","atención",0.4,0.4,0.6
"590","compartir",0.8,1,1
"591","blanco",0.2,-0.2,1
"592","necesidad",0,0.4,0.4
"593","musical",1,0.6,0.6
"594","piso",0,-0.2,1
"595","seguro",0.8,0.2,0.4
"596","ingreso",0.2,0.6,0.2
"597","vender",0,0.8,0.8
"598","simplemente",0.4,0.2,-0.2
"599","político",-0.8,0.4,0.4
"600","completo",0.4,0.2,0.6
"601","interés",0.4,0.4,0.8
"602","causar",0,0.6,0.2
"603","verano",1,0.2,1
"604","ala",0.6,0.4,1
"605","mitad",0,-0.4,0.4
"606","ciencia",0.6,1,1
"607","hogar",1,0,1
"608","faltar",-0.4,0.4,0.2
"609","rápido",0,1,0.2
"610","partido",0.2,0.8,0.8
"611","enorme",0.2,0.2,0.8
"612","nube",0.6,-0.4,1
"613","falta",-0.2,0,0
"614","guardar",0,0,0.2
"615","mesa",0,-0.4,1
"616","extender",0,0.8,0
"617","oro",0.4,-0.8,1
"618","juntar",0.4,1,0.2
"619","similar",0,-0.2,0
"620","enviar",0,1,0.2
"621","histórico",-0.2,-0.6,0.2
"622","interpretar",0.6,0.8,0
"623","piedra",0,-0.8,1
"624","frío",-0.4,0,1
"625","museo",0.8,-0.2,1
"626","original",0.8,0,0.2
"627","civil",0,0.2,-0.6
"628","luchar",0.167,1,0.833
"629","campo",1,-0.286,1
"630","medida",0,0.167,-0.167
"631","plan",0.333,0.667,0.667
"632","apoyar",0.4,0.6,1
"633","información",0.2,0,0
"634","producto",0,-0.2,0.6
"635","unidad",0.4,0.2,0.4
"636","cercano",0.4,0.2,0.6
"637","energía",0.8,0.8,1
"638","alegría",1,1,1
"639","ayuda",0.6,1,0.6
"640","llenar",0.4,1,0.8
"641","colocar",0,1,0.8
"642","avanzar",0.6,1,1
"643","encuentro",1,0.8,1
"644","especialmente",0.2,0.2,0.2
"645","escena",0.2,0.2,0.4
"646","capacidad",0.4,0.4,0.6
"647","profundo",0.6,0.6,0.8
"648","investigación",0.2,1,0.4
"649","largo",0,0,0.6
"650","jardín",1,-0.4,1
"651","gana",0.4,0.8,-0.4
"652","ropa",0.4,-0.2,1
"653","cine",0.8,0,1
"654","oscuridad",-0.4,-0.6,0.8
"655","realmente",0,0.4,0
"656","retirar",0,0.6,0.6
"657","red",0,-0.4,1
"658","parar",0,1,1
"659","tema",0,-0.4,-0.4
"660","describir",0.2,0.6,0.4
"661","enfrentar",-0.4,1,0.6
"662","parir",0.2,1,1
"663","suerte",1,0.2,0.6
"664","edición",0,0.6,0.2
"665","ataque",-1,1,1
"666","abrazar",1,1,1
"667","consejo",0.8,0.8,0.8
"668","café",1,0,1
"669","muchacho",0,-0.2,0.6
"670","cuarto",0,-0.6,0.8
"671","revista",0.2,-0.2,1
"672","tristeza",-0.8,0,1
"673","carne",-0.2,-0.2,1
"674","comuna",0.2,0.2,-0.2
"675","enamorar",1,1,0.6
"676","espejo",0.6,-0.4,1
"677","conjunto",0.4,0.2,0.6
"678","característica",0.2,0,-0.2
"679","corto",-0.2,-0.4,0.8
"680","claro",1,-0.2,0.6
"681","pacífico",1,0,0.8
"682","indicar",0,0.8,1
"683","felicidad",1,0.8,0.8
"684","sensación",0.2,0.8,0.2
"685","oportunidad",1,0.8,0.6
"686","temer",-0.8,0.4,0.6
"687","campeonato",0.6,0.6,0.4
"688","motivo",0.2,0.2,-0.2
"689","rato",0.2,0.2,0.2
"690","derrotar",-0.4,0.8,0.6
"691","peso",-0.2,-0.2,0.6
"692","sencillo",0.6,0.4,0.8
"693","duro",-0.2,0.6,0.8
"694","olor",0,0.4,0.6
"695","duda",-0.4,-0.2,-0.4
"696","puesto",0,0.4,-0.2
"697","actuar",0.8,1,1
"698","principalmente",0,0.2,-0.4
"699","referir",0,0.4,-0.6
"700","detrás",0,-0.4,0.4
"701","destruir",-0.8,1,0
"702","prueba",-0.2,0.4,0.2
"703","tenia",-1,0.4,0.4
"704","perfecto",0.8,0.4,0
"705","pelo",0,0,1
"706","pasión",0.6,0.6,0.6
"707","fecha",0.4,0,0
"708","cansar",-0.667,0.333,0.667
"709","beber",1,1,1
"710","lucha",-0.4,1,0.8
"711","poeta",0.8,0.6,0.6
"712","novela",1,-0.2,0.8
"713","dato",0.6,-0.4,0.8
"714","limitar",-0.4,1,0.2
"715","pez",0.6,0.8,1
"716","repetir",-0.2,0.8,-0.2
"717","creación",0.8,1,0
"718","texto",0.6,-0.2,0.8
"719","naturaleza",1,0.2,0.8
"720","torre",0.4,-0.6,1
"721","constituir",0.4,0.8,-0.4
"722","dulce",1,-0.4,1
"723","obligar",-1,1,0.6
"724","mil",0,0,0.2
"725","pagar",-0.6,1,1
"726","estructura",0,-1,0
"727","copa",0.6,-0.6,1
"728","risa",1,1,1
"729","organizar",0.2,1,0
"730","municipal",0,0,0.6
"731","frío",-0.6,0.2,0.6
"732","negar",-0.8,1,0.4
"733","diferencia",0,0,0.2
"734","intento",0.4,0.8,-0.2
"735","vía",0,-0.4,0.2
"736","policía",-0.2,0.2,1
"737","demostrar",0.4,1,-0.2
"738","formación",0.8,-0.2,-0.2
"739","cultural",0.8,-0.2,-0.6
"740","plata",0.8,-0.2,0.8
"741","período",0,-0.2,0.2
"742","surgir",0.6,1,-0.4
"743","pieza",0.4,-0.4,0.4
"744","suave",0.8,0.2,0.6
"745","guerra",-1,0.2,1
"746","vecino",0.2,0.2,0.6
"747","vista",1,0.2,0.4
"748","aspecto",0.6,0,-0.2
"749","meter",0.4,1,0.4
"750","amo",0.2,0.6,0.2
"751","cortar",0,0.8,0.4
"752","distribución",0.2,0.4,0
"753","pregunta",0.2,1,0.4
"754","paz",1,-0.2,0.2
"755","fruto",0.8,0.2,0.6
"756","belleza",1,0.4,1
"757","poema",0.8,0,0.4
"758","suficiente",0.4,0.2,-0.6
"759","famoso",0,0.2,0.4
"760","artículo",0,-0.2,0.2
"761","loco",0,1,0.6
"762","villa",-0.2,0,0.6
